Scientific name	Lat	Lng	Date	Id	Geoprivacy	Quality grade
Cestrum parqui	-33.57769731	-70.39115198	2022-11-13	141950931	open	research
Plantae	-33.5776957	-70.39098032	2022-11-13	141950927	None	needs_id
Stachys grandidentata	-33.57770589	-70.3908167	2022-11-13	141950926	None	research
Oogenius chilensis	-33.57761453	-70.39101835	2022-11-13	141950924	None	research
Insecta	-33.57759218	-70.39086278	2022-11-13	141950920	None	needs_id
Elaphroptera	-33.5775235	-70.39086106	2022-11-13	141950919	None	needs_id
Colletia hystrix	-33.577533	-70.390735	2022-11-13	141950918	None	research
Stenoparedra	-33.57782592	-70.39406214	2022-11-13	141940697	None	needs_id
Animalia	-33.57806055	-70.39434646	2022-11-13	141940696	None	needs_id
Plantae	-33.57792424	-70.3942955	2022-11-13	141940695	None	needs_id
Plantae	-33.57800916	-70.3940398	2022-11-13	141940694	None	needs_id
Bryophyta	-33.57788849	-70.3943268	2022-11-13	141940692	None	needs_id
Escallonia pulverulenta	-33.57799798	-70.39436344	2022-11-13	141940691	open	research
Adiantum chilense sulphureum	-33.57787061	-70.39419178	2022-11-13	141940690	None	research
Lecanoromycetes	-33.57793541	-70.39406571	2022-11-13	141940688	None	needs_id
Lecanoromycetes	-33.57806055	-70.39422933	2022-11-13	141940687	None	needs_id
Lithraea caustica	-33.5780248	-70.39410863	2022-11-13	141940686	open	research
Plantae	-33.577962	-70.394173	2022-11-13	141940684	None	needs_id
Asteraceae	-33.57797764	-70.39419982	2022-11-13	141940683	None	needs_id
Pasithea caerulea	-33.577962	-70.394173	2022-11-13	141940682	None	research
Phacelia secunda	-33.57992778	-70.39653889	2022-11-13	141937076	None	research
Senecio microphyllus	-33.58003056	-70.39665833	2022-11-13	141937075	None	needs_id
Leucocoryne ixioides	-33.57995278	-70.39538611	2022-11-13	141937074	None	research
Asteraceae	-33.57945278	-70.39550278	2022-11-13	141937073	None	needs_id
Schinus polygama	-33.58001944	-70.39605	2022-11-13	141937072	open	research
Leucheria	-33.58001667	-70.39620556	2022-11-13	141937071	None	needs_id
Haplopappus	-33.58003611	-70.396275	2022-11-13	141937070	None	needs_id
Scyphanthus elegans	-33.58025	-70.39669444	2022-11-13	141937068	None	research
Zephyranthes	-33.58025	-70.39669444	2022-11-13	141935721	None	needs_id
Calceolaria thyrsiflora	-33.58110556	-70.39661944	2022-11-13	141935622	None	research
Vanessa carye	-33.57863	-70.394399	2022-11-13	141934269	None	research
Elaphroptera	-33.57982	-70.395179	2022-11-13	141934015	None	needs_id
Manduca sexta caestri	-33.57640364	-70.4030064	2022-11-11	141692792	None	research
Trevoa quinquenervia	-33.57868681	-70.3945414	2022-10-29	141506640	None	research
Schinus polygama	-33.57864519	-70.39495982	2022-10-29	141506250	open	research
Cestrum parqui	-33.5769977	-70.39393555	2022-10-29	141506040	open	research
Podanthus mitiqui	-33.57832676	-70.39325159	2022-10-29	141505830	None	research
Ageratina glechonophylla	-33.57637814	-70.39465137	2022-10-29	141505429	None	research
Trichocereus chiloensis	-33.57627144	-70.40306293	2022-11-05	141174943	None	research
Mimus thenca	-33.57664546	-70.40297896	2022-07-14	141162473	open	research
Anairetes parulus	-33.57646613	-70.40304031	2022-10-21	141161779	open	research
Rosa canina	-33.57536582	-70.40237781	2021-10-31	141161279	None	needs_id
Chiasmetes limae	-33.57648568	-70.40307451	2022-01-14	141160636	None	research
Polistes buyssoni	-33.5764206	-70.40321566	2022-02-04	141160194	None	research
Coptopteryx gayi	-33.57652758	-70.40317543	2022-01-14	141159880	None	research
Phoracantha recurva	-33.57650607	-70.40305573	2022-02-05	141159535	None	research
Bothriurus chilensis	-33.57638037	-70.40304702	2021-02-28	141159081	None	needs_id
Euathlus	-33.5763999	-70.4030615	2021-04-24	141158097	None	needs_id
Noctuidae	-33.57644238	-70.40303025	2021-08-28	141157314	None	needs_id
Polythysana cinerascens	-33.57642842	-70.4030212	2021-03-13	141156572	None	research
Cercophana venusta	-33.57651049	-70.40300699	2020-04-01	141155749	None	research
Geometridae	-33.57821333	-70.37359667	2022-10-25	141104866	None	needs_id
Proscopiidae	-33.579045	-70.38799167	2022-10-26	140932156	None	needs_id
Cistanthe grandiflora	-33.58399268	-70.38027637	2021-08-15	140924634	None	research
Stachys grandidentata	-33.55661087	-70.38378144	2021-09-26	140924575	None	research
Asteraceae	-33.58229526	-70.38043512	2021-09-25	140924467	None	needs_id
Alstroemeria	-33.57619531	-70.39607621	2022-09-10	140924399	None	needs_id
Stellaria chilensis	-33.57677997	-70.3960721	2022-09-10	140924164	None	research
Liolaemus tenuis	-33.57519749	-70.39738907	2022-09-10	140924123	None	research
Psyllidae	-33.57818458	-70.37553582	2022-10-26	140186200	None	needs_id
Thomisidae	-33.5776447	-70.37207311	2022-10-25	140186199	None	needs_id
Cicadellidae	-33.5771799	-70.36962694	2022-10-25	140186198	None	needs_id
Elaphroptera	-33.57542791	-70.38559145	2022-10-25	140186197	None	needs_id
Thomisidae	-33.57543405	-70.38735097	2022-10-25	140186196	None	needs_id
Puya alpestris zoellneri	-33.57778667	-70.37484667	2022-10-25	140157734	None	research
Escallonia pulverulenta	-33.579025	-70.38798667	2022-10-26	140157647	open	needs_id
Cistanthe	-33.57655	-70.36755333	2022-10-25	140157535	None	needs_id
Mutisia rosea	-33.57747167	-70.37026167	2022-10-25	140157359	None	needs_id
Angiospermae	-33.57774667	-70.37132167	2022-10-25	140157292	None	needs_id
Leucocoryne	-33.57760333	-70.37152167	2022-10-25	140157238	None	needs_id
Salpiglossis sinuata	-33.41392771	-70.2437873	2021-10-31	140057130	None	research
Chloraea chrysantha	-33.5807418	-70.40824682	2022-10-23	139978857	None	research
Liolaemus chiliensis	-33.5807418	-70.40824682	2018-09-08	139971499	None	research
Quillaja saponaria	-33.5807418	-70.40824682	2019-12-05	139965568	open	research
Phrygilus gayi	-33.5807418	-70.40824682	2018-08-03	139938686	open	research
Metriopelia melanoptera	-33.5807418	-70.40824682	2022-01-22	139938623	open	research
Troglodytes aedon chilensis	-33.5807418	-70.40824682	2021-10-17	139938566	open	research
Liolaemus tenuis	-33.5807418	-70.40824682	2021-10-17	139938388	None	research
Daptrius megalopterus	-33.5807418	-70.40824682	2019-05-04	139938284	open	research
Nycticorax nycticorax obscurus	-33.5807418	-70.40824682	2021-11-01	139938230	open	research
Geranoaetus melanoleucus	-33.5807418	-70.40824682	2022-01-22	139938128	open	research
Kageneckia oblonga	-33.5807418	-70.40824682	2021-10-30	139938087	open	research
Elanus leucurus	-33.5807418	-70.40824682	2018-08-23	139937926	open	research
Liolaemus tenuis	-33.5807418	-70.40824682	2022-03-30	139937832	None	research
Liolaemus monticola	-33.5807418	-70.40824682	2021-10-21	139937480	open	research
