Scientific name,Lat,Lng,Date,Id,Geoprivacy,Quality grade
Kageneckia oblonga,-33.56423769,-70.39598419,2022-11-13,141927308,open,research
Otholobium glandulosum,-33.57195332,-70.39808372,2022-11-13,141927263,None,research
Colliguaja odorifera,-33.57266552,-70.39824369,2022-11-13,141914289,None,research
Quinchamalium chilense,-33.57433066,-70.39879895,2022-11-13,141913024,None,research
Leucocoryne ixioides,-33.57909474,-70.39771284,2022-11-13,141909795,None,research
Colletia hystrix,-33.57952695,-70.39724857,2022-11-13,141909699,open,research
Lithraea caustica,-33.57951927,-70.39717885,2022-11-13,141909619,open,research
Alstroemeria ligtu simsii,-33.58131966,-70.39714038,2022-11-13,141909275,None,research
Scyphanthus elegans,-33.58034961,-70.39686083,2022-11-13,141908839,None,research
Calceolaria thyrsiflora,-33.58093758,-70.39654519,2022-11-13,141908127,None,research
Manduca sexta caestri,-33.57640364,-70.4030064,2022-11-11,141692792,None,research
Trevoa quinquenervia,-33.57868681,-70.3945414,2022-10-29,141506640,None,research
Schinus polygama,-33.57864519,-70.39495982,2022-10-29,141506250,open,research
Cestrum parqui,-33.5769977,-70.39393555,2022-10-29,141506040,open,research
Podanthus mitiqui,-33.57832676,-70.39325159,2022-10-29,141505830,None,research
Ageratina glechonophylla,-33.57637814,-70.39465137,2022-10-29,141505429,None,research
Trichocereus chiloensis,-33.57627144,-70.40306293,2022-11-05,141174943,None,research
Mimus thenca,-33.57664546,-70.40297896,2022-07-14,141162473,open,research
Anairetes parulus,-33.57646613,-70.40304031,2022-10-21,141161779,open,research
Chiasmetes limae,-33.57648568,-70.40307451,2022-01-14,141160636,None,research
Polistes buyssoni,-33.5764206,-70.40321566,2022-02-04,141160194,None,research
Coptopteryx gayi,-33.57652758,-70.40317543,2022-01-14,141159880,None,research
Phoracantha recurva,-33.57650607,-70.40305573,2022-02-05,141159535,None,research
Polythysana cinerascens,-33.57642842,-70.4030212,2021-03-13,141156572,None,research
Cercophana venusta,-33.57651049,-70.40300699,2020-04-01,141155749,None,research
Teucrium bicolor,-33.536454,-70.396327,2022-10-30,140935094,None,research
Podanthus mitiqui,-33.536454,-70.396327,2022-10-30,140935083,None,research
Leucocoryne ixioides,-33.536454,-70.396327,2022-10-30,140935080,None,research
Alloscirtetica gayi,-33.536454,-70.396327,2022-10-30,140935076,None,research
Cheilanthes glauca,-33.536454,-70.396327,2022-10-30,140935064,None,research
Quinchamalium chilense,-33.536454,-70.396327,2022-10-30,140935058,None,research
Blechnum hastatum,-33.536454,-70.396327,2022-10-30,140935055,None,research
Liolaemus lemniscatus,-33.536454,-70.396327,2022-10-30,140935053,None,research
Cissus striata,-33.536454,-70.396327,2022-10-30,140935052,None,research
Chloraea galeata,-33.547042,-70.401477,2022-10-30,140935049,None,research
Rhinella spinulosa,-33.536454,-70.396327,2022-10-30,140935047,None,research
Azara petiolaris,-33.536454,-70.396327,2022-10-30,140935046,open,research
Sisyrinchium striatum,-33.5378489,-70.4029403,2022-10-30,140935045,None,research
Stachys grandidentata,-33.5378489,-70.4029403,2022-10-30,140935042,None,research
Trichocereus chiloensis chiloensis,-33.5378489,-70.4029403,2022-10-30,140932636,None,research
Cistanthe grandiflora,-33.58399268,-70.38027637,2021-08-15,140924634,None,research
Stachys grandidentata,-33.55661087,-70.38378144,2021-09-26,140924575,None,research
Stellaria chilensis,-33.57677997,-70.3960721,2022-09-10,140924164,None,research
Liolaemus tenuis,-33.57519749,-70.39738907,2022-09-10,140924123,None,research
Schizanthus pinnatus,-33.53771426,-70.4029404,2022-10-31,140829298,None,research
Leucocoryne ixioides,-33.57177897,-70.40000297,2022-10-30,140557866,None,research
Puya alpestris zoellneri,-33.57778667,-70.37484667,2022-10-25,140157734,None,research
Leucheria tenuis,-33.579925,-70.39549167,2022-10-24,139876240,None,research
Cryptocarya alba,-33.579293,-70.381586,2022-10-20,139633979,open,research
Cryptocarya alba,-33.579007,-70.37841,2022-10-20,139633195,open,research
Strymon bicolor,-33.579007,-70.37841,2022-10-20,139633139,None,research
Leucocoryne ixioides,-33.578435,-70.377037,2022-10-20,139633048,None,research
Strymon bicolor,-33.579651,-70.379269,2022-10-20,139632842,None,research
Liolaemus fuscus,-33.579723,-70.380041,2022-10-20,139632739,open,research
Oxalis arenaria,-33.580152,-70.382959,2022-10-20,139632578,None,research
Loasa triloba,-33.579723,-70.385191,2022-10-20,139632219,None,research
Alonsoa meridionalis,-33.580152,-70.38871,2022-10-20,139632155,None,research
Podanthus mitiqui,-33.579763,-70.392778,2022-10-20,139632049,None,research
Vanessa terpsichore,-33.5657,-70.3971,2021-11-29,138402438,None,research
Troglodytes aedon,-33.5657,-70.3971,2021-11-29,138402436,open,research
Maytenus boaria,-33.58176167,-70.39451667,2022-10-08,138400431,open,research
Leptoglossus chilensis,-33.5657,-70.3971,2021-11-29,138395755,None,research
Liolaemus tenuis,-33.5657,-70.3971,2021-11-29,138395749,None,research
Ectinogonia buquetii,-33.57351857,-70.39830574,2021-11-29,138395736,None,research
Tyndaris planata,-33.57588362,-70.39825594,2021-11-29,138394385,None,research
Liolaemus tenuis,-33.57793975,-70.39332761,2022-10-08,138261824,None,research
